category,title,href,push_count,author,price,date
賣/,Surface pro 3 i5 8/256G,/bbs/nb-shopping/M.1541564523.A.B07.html,,chi7923,17500,2018-11-07 12:22:01
賣/,Surface pro 3 i5/8g/256 大全配,/bbs/nb-shopping/M.1540740713.A.589.html,,pkwater,18500,2018-10-28 23:31:49
賣/,Surface Pro 3 含鍵盤,/bbs/nb-shopping/M.1538888012.A.4D6.html,,kumajiang,8000,2018-10-07 12:53:30
賣/,Surface Pro 3 零件機 ,/bbs/nb-shopping/M.1535982032.A.287.html,,Jerry0806,4000,2018-09-03 21:40:29
徵/,surface pro 3/4 ,/bbs/nb-shopping/M.1535774296.A.B06.html,,akirawatari,8000,2018-09-01 11:58:07
賣/,urface Pro 3 4G ram / 128G ssd ,/bbs/nb-shopping/M.1531661904.A.55F.html,,arashiiou,10000,2018-07-15 21:38:22
賣/,urface Pro 3 4G ram / 128G ssd ,/bbs/nb-shopping/M.1531295346.A.8B4.html,,arashiiou,10000,2018-07-11 15:49:04
賣/,surface pro 3 i5 8G 256G,/bbs/nb-shopping/M.1530649328.A.057.html,,zchan,13500,2018-07-04 04:22:05
徵/,surface pro 3 4g/128g 8g/256g 已徵,/bbs/nb-shopping/M.1530516976.A.4BD.html,,efb258d,4,2018-07-02 15:36:14
賣/,Surface Pro 3 i5/4g/128g(售出),/bbs/nb-shopping/M.1530150665.A.292.html,,Earl,10500,2018-06-28 09:51:02
賣/,(停售勿來信)Surface Pro 3 i5/4G/128G 含鍵盤手寫筆,/bbs/nb-shopping/M.1528559008.A.B1D.html,,abwild,9500,2018-06-09 23:43:20
賣/,Surface Pro 3 i5/4G/128G,/bbs/nb-shopping/M.1526427536.A.16C.html,,ab566,14000,2018-05-16 07:38:54
賣/,Surface Pro 3 i5/4G/128G,/bbs/nb-shopping/M.1524666168.A.FC2.html,,ab566,15000,2018-04-25 22:22:46
賣/,Surface Pro 3 i5/4G/128G(售出）,/bbs/nb-shopping/M.1524031150.A.857.html,,iori1115,12000,2018-04-18 13:59:07
賣/,Surface Pro 3 i5/4G/128G,/bbs/nb-shopping/M.1523967266.A.370.html,,ab566,15000,2018-04-17 20:14:23
賣/,台中 surface pro 3 i5 8g/256 ssd(已售出),/bbs/nb-shopping/M.1523505432.A.7B6.html,,acsx7339,15000,2018-04-12 11:57:09
徵/,已徵到Surface pro 3/4,/bbs/nb-shopping/M.1521276306.A.525.html,,MagiTurks,20,2018-03-17 16:45:04
賣/,暫售出Surface pro 3 i5/128g,/bbs/nb-shopping/M.1520261369.A.A10.html,,jraeuy,11000,2018-03-05 22:49:26
賣/,Surface pro 3 i5/8G/256G,/bbs/nb-shopping/M.1519912073.A.F6F.html,,centralplace,10000,2018-03-01 21:47:50
賣/,Surface Pro 3 i7 8g 256g,/bbs/nb-shopping/M.1519539535.A.DF3.html,,Duke99,179005,2018-02-25 14:18:52
徵/,"surface pro 3 or4,8g/256g,有觸碰筆",/bbs/nb-shopping/M.1518490528.A.508.html,,chon,3,2018-02-13 10:55:25
徵/,Surface Pro 3,/bbs/nb-shopping/M.1518314185.A.95A.html,,zekemhyang,10000,2018-02-11 09:56:22
賣/,Surface Pro 3 128G/4G 螢幕破裂,/bbs/nb-shopping/M.1517684357.A.6B8.html,,toxayu,6000,2018-02-04 02:59:14
賣/,surface pro 3 8g/256g 14500,/bbs/nb-shopping/M.1517326181.A.075.html,,oldAbout,,2018-01-30 23:29:38
賣/,Surface Pro 3 i5 4g 128g(售出),/bbs/nb-shopping/M.1517023304.A.DB3.html,,sanchini,12000,2018-01-27 11:21:40
賣/,Surface Pro 3 4G 512G 整新機,/bbs/nb-shopping/M.1516697602.A.2F1.html,,sunnyjazz,20000,2018-01-23 16:53:19
賣/,Surface Pro 3/4連結基座,/bbs/nb-shopping/M.1516098118.A.70F.html,,a59243510,2500,2018-01-16 18:21:55
賣/,Surface Pro 3 i5 4g 128g,/bbs/nb-shopping/M.1515949632.A.594.html,,sanchini,13000,2018-01-15 01:07:09
賣/,Surface Pro 3/4 基座,/bbs/nb-shopping/M.1515125544.A.F6B.html,,a59243510,2800,2018-01-05 12:12:21
賣/,售surface pro 3 &  pro 4原廠鍵盤,/bbs/nb-shopping/M.1515046516.A.9E0.html,,cheelowt,,2018-01-04 14:15:14
賣/,Surface pro 3 4g128g(售出),/bbs/nb-shopping/M.1514970670.A.9BD.html,,d3eric,12000,2018-01-03 17:11:07
賣/,Surface pro 3 含盒裝、鍵盤、筆,/bbs/nb-shopping/M.1514596799.A.16E.html,,d3eric,12000,2017-12-30 09:19:56
賣/,Surface pro 3 128g/4g 售出,/bbs/nb-shopping/M.1514428310.A.39B.html,,bmwx5,15000,2017-12-28 10:31:47
賣/,Surface pro 3 含盒裝、鍵盤、筆 ,/bbs/nb-shopping/M.1514342730.A.A00.html,,d3eric,12000,2017-12-27 10:45:27
賣/,Surface Pro 3/4 原廠專用連結基座,/bbs/nb-shopping/M.1514183867.A.2CC.html,,a59243510,3000,2017-12-25 14:37:44
賣/,Surface Pro 3 原廠專用連結基座,/bbs/nb-shopping/M.1513497025.A.BD8.html,,a59243510,3000,2017-12-17 15:50:23
賣/,Surface Pro 3 i5/8/256,/bbs/nb-shopping/M.1513481341.A.69C.html,,janeration,,2017-12-17 11:28:59
賣/,已售出surface pro 3 256g 17500元有,/bbs/nb-shopping/M.1513321376.A.AB9.html,,Duke99,17500,2017-12-15 15:02:54
賣/,Lenov X1 YOGA /Surface pro 3,/bbs/nb-shopping/M.1513209460.A.633.html,,bmwx5,130000,2017-12-14 07:57:38
賣/,（洽中）Surface Pro 3 i5 4G 128G,/bbs/nb-shopping/M.1513070879.A.CE0.html,,JefferyTseng,11500,2017-12-12 17:27:56
賣/,urface pro 3 螢幕破裂版  ,/bbs/nb-shopping/M.1512839965.A.9E9.html,,a43120000,6000,2017-12-10 01:19:22
賣/,Surface Pro 3 原廠專用連結基座,/bbs/nb-shopping/M.1512776034.A.5CE.html,,a59243510,3500,2017-12-09 07:33:51
賣/,手 surface pro 3 i5 4g 128,/bbs/nb-shopping/M.1512740855.A.4C7.html,,kletavozex,15000,2017-12-08 21:47:32
徵/,回收 故障的 surface pro 3 、 4、boo,/bbs/nb-shopping/M.1512509205.A.704.html,,jensen800921,2000,2017-12-06 05:26:42
賣/,urface pro 3 (I5 8G 256G) -已售出,/bbs/nb-shopping/M.1512314722.A.342.html,,mydd,13000,2017-12-03 23:25:19
賣/,Surface Pro 3 4g128無鍵盤9800,/bbs/nb-shopping/M.1512224827.A.C83.html,,deeeennis,9800,2017-12-02 22:27:05
徵/,Surface Pro 3 I5/I7 4G/8G 128G/256G,/bbs/nb-shopping/M.1512221924.A.0EA.html,,um100000,5,2017-12-02 21:38:40
賣/,Surface pro 3 黑色原廠鍵盤 1000元,/bbs/nb-shopping/M.1511889426.A.414.html,,jensen800921,1000,2017-11-29 01:17:03
賣/,Surface pro 3 i5 4g 128g ,/bbs/nb-shopping/M.1511761777.A.F48.html,,XXXXXCAY,12000,2017-11-27 13:49:34
賣/,urface Pro 3 I7/8G/256G (售出),/bbs/nb-shopping/M.1511686692.A.615.html,,keepfighting,15000,2017-11-26 16:58:10
賣/,Surface Pro 3 i5 4G 128G ,/bbs/nb-shopping/M.1511421387.A.CAB.html,,joneslin100,10500,2017-11-23 15:16:25
